Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AccountManagement,Chrome 115.0.0.0,,,2023-08-10 01:10:57,2023-08-10 01:34:48,23m - 51.243s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_016,Chrome 115.0.0.0,To Verify logged in user is able to view the profile inforamtion from Actualizar datos personales link in my account page after Updating personal information,,2023-08-10 01:10:57,2023-08-10 01:13:00,2m - 2.612s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-10 01:10:58,2023-08-10 01:11:01,3.453s,PASSED
navigateToUrl(LiverpoolURL),Chrome 115.0.0.0,,,2023-08-10 01:11:01,2023-08-10 01:11:44,42.971s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 01:11:44,2023-08-10 01:11:44,0.243s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-10 01:11:44,2023-08-10 01:11:45,0.997s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":username, ""password"":password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 01:11:45,2023-08-10 01:12:09,23.996s,PASSED
"mouseOver(findTestObject(""HomePage/AfterLogin_Homepage""))",Chrome 115.0.0.0,,,2023-08-10 01:12:09,2023-08-10 01:12:53,43.586s,PASSED
"click(findTestObject(""AccountManagement/MyAccountButton_Account""))",Chrome 115.0.0.0,,,2023-08-10 01:12:53,2023-08-10 01:12:54,0.521s,PASSED
"click(findTestObject(""AccountManagement/UpdatePeronalData_Account""))",Chrome 115.0.0.0,,,2023-08-10 01:12:54,2023-08-10 01:12:57,3.926s,PASSED
"verifyElementPresent(findTestObject(""AccountManagement/updatePage_Account""), 0)",Chrome 115.0.0.0,,,2023-08-10 01:12:57,2023-08-10 01:13:00,2.216s,PASSED
name = customkeywords.myKeywords.randomString(),Chrome 115.0.0.0,,,2023-08-10 01:13:00,2023-08-10 01:13:00,0.044s,PASSED
"setText(findTestObject(""AccountManagement/UpdatePeronalData_Account""), name)",Chrome 115.0.0.0,,,2023-08-10 01:13:00,2023-08-10 01:13:00,0.216s,FAILED
,,,,,,,
Test Cases/AccountManagement/TS_SMOKE_SUITE_017,Chrome 115.0.0.0,Verify the user able to add new Personal shipping address,,2023-08-10 01:13:00,2023-08-10 01:15:17,2m - 16.956s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-10 01:13:00,2023-08-10 01:13:03,2.382s,PASSED
navigateToUrl(LiverpoolURL),Chrome 115.0.0.0,,,2023-08-10 01:13:03,2023-08-10 01:13:51,48.087s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 01:13:51,2023-08-10 01:13:51,0.217s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-10 01:13:51,2023-08-10 01:13:52,1.052s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":username, ""password"":password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 01:13:52,2023-08-10 01:14:29,36.410s,PASSED
