Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HomePage,Chrome 115.0.0.0,,,2023-08-10 04:50:07,2023-08-10 04:51:55,1m - 48.467s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_008,Chrome 115.0.0.0,"To verify that the user is navigated to  ""Tiendas""( Store locator) page by clicking on the  “Ubica tu tienda "" link on the header section.",,2023-08-10 04:50:07,2023-08-10 04:51:55,1m - 48.050s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-10 04:50:08,2023-08-10 04:50:11,3.096s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-10 04:50:11,2023-08-10 04:51:16,1m - 5.354s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 04:51:16,2023-08-10 04:51:16,0.245s,PASSED
"click(findTestObject(""HomePage/Tiendas_HP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 04:51:16,2023-08-10 04:51:17,1.013s,PASSED
"verifyElementPresent(findTestObject(""SLP/breadCrumb_SLP""), 0)",Chrome 115.0.0.0,,,2023-08-10 04:51:17,2023-08-10 04:51:23,5.635s,PASSED
"verifyElementPresent(findTestObject(""SLP/Map_Verify_slp""), 0)",Chrome 115.0.0.0,,,2023-08-10 04:51:23,2023-08-10 04:51:24,0.658s,PASSED
"verifyElementPresent(findTestObject(""SLP/Store_location_slp""), 0)",Chrome 115.0.0.0,,,2023-08-10 04:51:24,2023-08-10 04:51:55,31.534s,FAILED
