Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
browserAndShop,Chrome 115.0.0.0,,,2023-08-10 01:34:54,2023-08-10 01:53:45,18m - 51.536s,FAILED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_039,Chrome 115.0.0.0,To verify that the breadcrumbs are clickable when user has landed on L1 category page.,,2023-08-10 01:34:54,2023-08-10 01:35:53,59.166s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-10 01:34:55,2023-08-10 01:34:58,3.072s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-10 01:34:58,2023-08-10 01:35:44,45.924s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 01:35:44,2023-08-10 01:35:45,1.293s,PASSED
"click(findTestObject(""HomePage/L1_Category1_HP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 01:35:45,2023-08-10 01:35:46,0.721s,PASSED
"verifyElementClickable(findTestObject(""CLPPage/breadCrumb_clp""))",Chrome 115.0.0.0,,,2023-08-10 01:35:46,2023-08-10 01:35:52,6.864s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-10 01:35:52,2023-08-10 01:35:53,0.809s,PASSED
,,,,,,,
Test Cases/Browse and Shop/TS_SMOKE_SUITE_047,Chrome 115.0.0.0,To verify the display of facets on the item listing page,,2023-08-10 01:35:53,2023-08-10 01:37:03,1m - 9.802s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-10 01:35:53,2023-08-10 01:35:55,1.407s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-10 01:35:55,2023-08-10 01:36:40,44.841s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 01:36:40,2023-08-10 01:36:40,0.666s,PASSED
"click(findTestObject(""HomePage/L1_Category1_HP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 01:36:40,2023-08-10 01:36:41,0.520s,PASSED
"click(findTestObject(""CLPPage/SubCategory2_leftmenu_CLP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 01:36:41,2023-08-10 01:36:48,7.601s,PASSED
"click(findTestObject(""CLPPage/SubCategory3_leftmenu_CLP""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 01:36:48,2023-08-10 01:36:55,6.553s,PASSED
"verifyElementClickable(findTestObject(""CLPPage/breadCrumb_clp""))",Chrome 115.0.0.0,,,2023-08-10 01:36:55,2023-08-10 01:37:00,4.695s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/CategoríasTitleFacet_PLP""), 0)",Chrome 115.0.0.0,,,2023-08-10 01:37:00,2023-08-10 01:37:00,0.340s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/DescontousTitleFacet_PLP""), 0)",Chrome 115.0.0.0,,,2023-08-10 01:37:00,2023-08-10 01:37:00,0.308s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/TamanoTitleFacet_PLP""), 0)",Chrome 115.0.0.0,,,2023-08-10 01:37:00,2023-08-10 01:37:01,0.329s,PASSED
